Time;GPS5;GPS16;GPS18;GPS20;GPS23;GPS25;GPS26;GPS29;GPS31;GLONASS3;GLONASS4;GLONASS5;GLONASS10;GLONASS11;GLONASS12;GLONASS21;GLONASS25;
24.04.2024 10:49:22.000;-976.836405508437;616.712207895796;298.147942357076;-987.877303456999;108.049389494954;-236.531623940537;637.209890924534;0;1072.32674822758;0;-974.621141485251;-1131.89746599982;0;621.435438910377;291.578032297248;662.304290283508;0;
24.04.2024 10:49:22.100;-974.094018000147;615.798846101632;297.606564569955;-985.799936150086;107.229906531808;-236.823478437704;635.869327057966;0;1069.19651110437;0;-972.16858592185;-1129.33148935729;0;619.730775912965;292.140916378639;660.644660209771;0;
24.04.2024 10:49:22.200;-971.780749968026;614.456844718614;296.564550480462;-983.31167379177;105.901626955558;-237.012496702158;634.078734149136;0;1065.99776849668;0;-967.76518707512;-1124.59206883103;0;617.776506938462;291.519443034867;658.166701594297;0;
24.04.2024 10:49:22.300;-969.477815137083;612.895136234762;295.58458690704;-979.885804878286;105.313760698047;-236.604944490806;632.805518767818;0;1063.5930000007;0;-965.162271473642;-1123.12734341909;0;615.667642132228;290.660032718282;657.738501940004;0;
24.04.2024 10:49:22.400;-967.176449243501;612.252699400156;294.663445781911;-977.543163221722;104.563704014416;-236.035750849886;631.437874529363;0;1061.06161210568;0;-962.78316061727;-1121.36702321854;0;614.417251280966;289.685369591563;656.823590446826;0;
24.04.2024 10:49:22.500;-965.292441049547;609.919268740048;293.586199103916;-975.200572667425;102.788978559071;-236.716017988683;629.670935928234;0;1057.91886353737;0;-958.912118947572;-1119.14530078849;0;614.00527194554;292.214863349969;655.1620702776;0;
24.04.2024 10:49:22.600;-962.39670333848;609.032744538696;292.900544620888;-972.358303810463;101.958295528222;-236.982819376035;628.460117869416;0;1054.23278166053;0;-958.820420663553;-1116.78986999108;0;613.651319390521;292.608508243655;654.503805327682;0;
24.04.2024 10:49:22.700;-959.78295606107;607.528942469715;292.047253767576;-970.205149560976;100.658019485747;-237.035630393175;627.021347808777;0;1051.06901718073;0;-954.226414748597;-1112.77640662496;0;611.596994960397;293.445896109679;650.659085606154;0;
24.04.2024 10:49:22.800;-957.470571219757;605.904133799491;291.684485556665;-966.646941879202;99.9660175472764;-236.366187997215;625.832909474573;0;1048.39020989057;0;-953.210891779445;-1109.92133908068;0;610.311205801665;292.67506741366;648.851902472376;0;
24.04.2024 10:49:22.900;-954.834825919676;605.397612502498;290.755127335935;-964.320704433307;98.8071905320448;-236.38536323888;624.548197622362;0;1045.68786633363;0;-949.836807339891;-1107.48902416452;0;608.10427548856;291.187557170093;648.378898111192;0;
24.04.2024 10:49:23.000;-951.985952414039;603.908528953436;289.712556809865;-961.639841681141;98.2404952339039;-236.777682893813;623.044988602385;0;1044.19782441221;0;-947.344226565583;-1104.73228844482;0;606.346947507525;290.59693745062;646.431713029448;0;
24.04.2024 10:49:23.100;-949.162631793693;603.965282126312;289.334388607502;-958.480285464808;97.4486533107211;-237.437066375796;621.95999536638;0;1042.33533195607;0;-943.888272889468;-1103.3677859334;0;604.590685885503;288.371120074404;644.330585130217;0;
24.04.2024 10:49:23.200;-947.083672879818;602.843454853641;288.083381155622;-955.96556500129;96.003653424501;-237.853169983007;620.091743170673;0;1039.87324095132;0;-942.079445576926;-1100.02216766659;0;603.459752986371;288.99268450853;643.656110056982;0;
24.04.2024 10:49:23.300;-944.762298136999;601.559802953587;287.180149217913;-953.186848397348;95.0241802943328;-237.917609550728;618.244135910469;0;1036.60215525055;0;-939.336071494998;-1097.84278622926;0;602.747751573577;289.365242233051;642.322196375864;0;
24.04.2024 10:49:23.400;-942.36108743007;600.728209391917;286.261253431301;-950.960265226253;94.9532355624924;-237.205371749729;616.914137559284;0;1032.96807380125;0;-936.408323292831;-1093.82342002954;0;600.709196333311;287.710337136896;640.51402451194;0;
24.04.2024 10:49:23.500;-939.927316386776;598.148891123988;285.42031944675;-947.909073645405;93.6749790037702;-236.525205718199;615.22104915427;0;1030.08392088983;0;-932.312190909892;-1092.37031937921;0;600.051906437975;287.269408749962;639.173631232916;0;
24.04.2024 10:49:23.600;-937.536161687425;597.772877601506;284.678104568915;-945.57743630619;93.5785226828957;-236.869656120116;614.393791175815;0;1027.22996440137;0;-931.358918150196;-1090.46480860995;0;597.52889862594;288.357010465455;638.267811351996;0;
24.04.2024 10:49:23.700;-887.964155341418;643.53791655613;330.775410899434;-895.428791544557;138.994343438888;-190.3946822377;659.896049940969;-608.994506279048;1071.14101016926;0;-882.508679391909;-1040.46371213113;0;643.088756399375;335.18669915405;683.134340367655;0;
24.04.2024 10:49:23.800;-886.153119456167;641.356593868934;329.519897323446;-892.222088230048;137.828641763062;-190.210370418374;657.778316500087;-606.872046154516;1068.57805992992;0;-879.55209350497;-1038.46904531093;0;641.975528987474;333.734016910772;682.707707791311;0;
24.04.2024 10:49:23.900;-883.367109600555;640.654373763826;328.421357330964;-889.75163396726;137.027603475113;-191.298210875837;656.164958283815;-604.628507440189;1066.09156780796;0;-876.706172060469;-1036.51832842029;0;639.7863316944;333.496377635207;680.627392373339;0;
24.04.2024 10:49:24.000;-880.728206798636;639.457766902797;327.472937157636;-888.090234672565;135.77193818906;-191.056853456625;654.359599700994;-602.777391911932;1063.37189151322;0;-874.730247023701;-1033.16742369361;0;638.561896116505;333.846357763901;677.707970212949;0;
24.04.2024 10:49:24.100;-878.4869520924;638.439592595327;326.451077942238;-885.207007428062;134.347733608425;-191.718473432253;653.005081472878;-600.972653352417;1060.43230712403;0;-872.93051294914;-1030.20780072666;0;637.083350798692;333.774944095363;675.989312343967;0;
24.04.2024 10:49:24.200;-876.229204007561;637.06065295878;325.569059701327;-882.021888941004;134.044521688684;-191.561830004681;651.442287947846;-599.282816343955;1057.51007885449;0;-869.492797865036;-1031.57529841061;0;635.498021821084;334.184937794947;674.854274805721;0;
24.04.2024 10:49:24.300;-873.930977592487;635.359922190468;324.605037603153;-879.254380802022;133.309382533302;-191.88802407464;649.977008810505;-597.536997475276;1053.40603622103;0;-866.983323688704;-1026.87013755827;0;633.404188531056;332.914840731164;673.487424570718;0;
24.04.2024 10:49:24.400;-871.570860441325;634.23120783543;323.886212421554;-876.60426336379;131.82196673932;-192.879503060998;648.249920290784;-596.073535818361;1050.62987350537;0;-864.10655993728;-1024.45608212808;0;631.893523166313;333.253797199935;671.724303591101;0;
24.04.2024 10:49:24.500;-869.05441765839;633.085418098304;322.556677313458;-874.225929430195;130.291280907877;-193.107751357036;646.493361466442;-594.794998270763;1047.98991412916;0;-860.489265024953;-1022.29304954509;0;630.415906450822;332.29232657471;670.840526345624;0;
